[2026-03-16 00:30:20] INFO - Device: cuda
[2026-03-16 00:30:20] INFO - Debug mode: False
[2026-03-16 00:30:20] INFO - Variant: ewc
[2026-03-16 00:30:20] INFO - Task sequence: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-16 00:30:21] INFO - Union action space: [0, 1, 3, 4, 11, 12] (6 actions)
[2026-03-16 00:30:23] INFO - Git commit: 600fef3
[2026-03-16 00:30:23] INFO - Task 1 expert checkpoint: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:23] INFO - EWC lambda: 5000.0
[2026-03-16 00:30:23] INFO - Fisher samples: 5000
[2026-03-16 00:30:23] INFO - Online EWC: False
[2026-03-16 00:30:23] INFO - 
============================================================
[2026-03-16 00:30:23] INFO - EWC Task 1/3: BreakoutNoFrameskip-v4
[2026-03-16 00:30:23] INFO - ============================================================
[2026-03-16 00:30:23] INFO - Loading Task 1 from expert: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:24] INFO - Computing Fisher for Task 1...
[2026-03-16 00:32:20] INFO - Post-task checkpoint saved: results/checkpoints/default/ewc_after_task0_Breakout.pt
[2026-03-16 00:32:20] INFO - Task 1 (Breakout) loaded from expert. Fisher computed on 100000 states.
[2026-03-16 00:32:20] INFO - 
============================================================
[2026-03-16 00:32:20] INFO - EWC Task 2/3: SpaceInvadersNoFrameskip-v4
[2026-03-16 00:32:20] INFO - ============================================================
[2026-03-16 00:40:07] INFO - [EWC-SpaceInvaders] Step 137378/3000000 | Ep 860 | Reward: 5.0 | Mean100: 3.1 | Eps: 0.728 | Time: 438s
[2026-03-16 00:40:15] INFO - [EWC-SpaceInvaders] Step 139224/3000000 | Ep 870 | Reward: 4.0 | Mean100: 3.2 | Eps: 0.724 | Time: 446s
[2026-03-16 00:40:19] INFO - [EWC-SpaceInvaders] Step 140322/3000000 | Ep 880 | Reward: 1.0 | Mean100: 3.1 | Eps: 0.722 | Time: 451s
[2026-03-16 00:40:27] INFO - [EWC-SpaceInvaders] Step 142036/3000000 | Ep 890 | Reward: 2.0 | Mean100: 3.2 | Eps: 0.719 | Time: 458s
[2026-03-16 00:40:34] INFO - [EWC-SpaceInvaders] Step 143757/3000000 | Ep 900 | Reward: 3.0 | Mean100: 3.1 | Eps: 0.715 | Time: 466s
[2026-03-16 00:40:41] INFO - [EWC-SpaceInvaders] Step 145418/3000000 | Ep 910 | Reward: 4.0 | Mean100: 2.9 | Eps: 0.712 | Time: 473s
[2026-03-16 00:40:48] INFO - [EWC-SpaceInvaders] Step 146912/3000000 | Ep 920 | Reward: 2.0 | Mean100: 2.9 | Eps: 0.709 | Time: 480s
[2026-03-16 00:40:57] INFO - [EWC-SpaceInvaders] Step 148769/3000000 | Ep 930 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.705 | Time: 488s
[2026-03-16 00:41:11] INFO - [EWC-SpaceInvaders] Eval at step 150000: mean reward = 187.50
[2026-03-16 00:41:13] INFO - [EWC-SpaceInvaders] Step 150441/3000000 | Ep 940 | Reward: 1.0 | Mean100: 3.1 | Eps: 0.702 | Time: 505s
[2026-03-16 00:41:21] INFO - [EWC-SpaceInvaders] Step 152097/3000000 | Ep 950 | Reward: 1.0 | Mean100: 3.2 | Eps: 0.699 | Time: 512s
[2026-03-16 00:41:27] INFO - [EWC-SpaceInvaders] Step 153424/3000000 | Ep 960 | Reward: 2.0 | Mean100: 3.1 | Eps: 0.696 | Time: 518s
[2026-03-16 00:41:33] INFO - [EWC-SpaceInvaders] Step 154846/3000000 | Ep 970 | Reward: 4.0 | Mean100: 3.1 | Eps: 0.693 | Time: 525s
[2026-03-16 00:41:42] INFO - [EWC-SpaceInvaders] Step 156735/3000000 | Ep 980 | Reward: 10.0 | Mean100: 3.3 | Eps: 0.690 | Time: 533s
[2026-03-16 00:41:50] INFO - [EWC-SpaceInvaders] Step 158542/3000000 | Ep 990 | Reward: 3.0 | Mean100: 3.2 | Eps: 0.686 | Time: 541s
[2026-03-16 00:41:58] INFO - [EWC-SpaceInvaders] Step 160397/3000000 | Ep 1000 | Reward: 25.0 | Mean100: 3.5 | Eps: 0.682 | Time: 549s
[2026-03-16 00:42:07] INFO - [EWC-SpaceInvaders] Step 162484/3000000 | Ep 1010 | Reward: 13.0 | Mean100: 3.7 | Eps: 0.678 | Time: 559s
[2026-03-16 00:42:17] INFO - [EWC-SpaceInvaders] Step 164795/3000000 | Ep 1020 | Reward: 6.0 | Mean100: 3.9 | Eps: 0.674 | Time: 569s
[2026-03-16 00:42:24] INFO - [EWC-SpaceInvaders] Step 166122/3000000 | Ep 1030 | Reward: 1.0 | Mean100: 3.7 | Eps: 0.671 | Time: 575s
